# معلومات عامة — 100 سؤال (25 لكل مستوى)
# الصيغة: مستوى|السؤال؟|خيار1|خيار2|خيار3|خيار4|رقم الإجابة
1|كم عدد أيام الأسبوع؟|خمسة|ستة|سبعة|ثمانية|3
1|ما لون السماء في يوم صافٍ؟|أحمر|أزرق|أخضر|أصفر|2
1|كم عدد أصابع اليد الواحدة؟|أربعة|خمسة|ستة|سبعة|2
1|ما أكبر حيوان على وجه الأرض؟|الفيل|الحوت الأزرق|الزرافة|وحيد القرن|2
1|ما الحيوان الذي يُلقب بسفينة الصحراء؟|الحصان|الجمل|الحمار|البغل|2
1|كم عدد فصول السنة؟|اثنان|ثلاثة|أربعة|خمسة|3
1|ما الشيء الذي نستخدمه لقياس الزمن؟|الميزان|الساعة|المسطرة|الترمومتر|2
1|ما أسرع حيوان بري؟|الأسد|الفهد الصياد|الحصان|النعامة|2
1|كم عدد أرجل الحشرة؟|أربع|ست|ثماني|عشر|2
1|ما الطائر الذي لا يستطيع الطيران؟|النسر|البطريق|الصقر|الحمام|2
1|ما الحيوان الذي يُنتج الحليب للإنسان؟|الأسد|البقرة|الثعلب|الذئب|2
1|كم عدد ألوان قوس قزح؟|خمسة|ستة|سبعة|ثمانية|3
1|ما أكبر قارة في العالم من حيث المساحة؟|أفريقيا|آسيا|أوروبا|أستراليا|2
1|ما الشيء الذي يذوب عند التسخين؟|الحجر|الجليد|الخشب|الزجاج البارد|2
1|ما مصدر ضوء النهار؟|القمر|الشمس|النجوم|المصابيح|2
1|كم عدد أشهر السنة الميلادية؟|عشرة|أحد عشر|اثنا عشر|ثلاثة عشر|3
1|ما الحيوان الذي يُلقب بملك الغابة؟|الفيل|الأسد|النمر|الدب|2
1|ما الحاسة التي نستخدمها للشم؟|البصر|السمع|الشم|اللمس|3
1|ما أكبر كوكب في المجموعة الشمسية؟|الأرض|المشتري|المريخ|عطارد|2
1|ما لون أوراق النباتات عادةً؟|أحمر|أخضر|أزرق|بنفسجي|2
1|ما الحيوان الذي يعيش في الماء ويتنفس بالخياشيم؟|القط|السمك|الكلب|الأرنب|2
1|كم عدد أيام شهر فبراير في السنة العادية؟|ثمانية وعشرون|تسعة وعشرون|ثلاثون|واحد وثلاثون|1
1|ما الشيء الذي يطفو على سطح الماء؟|الحديد|الخشب|الحجر|الرصاص|2
